"","Datum","Factuurnr.","Taak","Eind","Resource"
"1",2018-04-09,"I1800353","Inkoopfactuur <= 5.000",2018-04-12 15:01:35,"abdc6e9dade886e0d35ceab9951ebeda"
"2",2018-04-09,"I1800353","Beoordelen inkoopfactuur",2018-04-13 10:04:32,"ce89fe3400440ded691ebea966fbf59a"
"3",2018-04-09,"I1800353","Accorderen inkoopfactuur",2018-04-16 14:19:14,"3f309e071cff9027995b0b80691d6369"
"4",2018-02-26,"I1800224","Inkoopfactuur <= 5.000",2018-03-08 09:57:39,"abdc6e9dade886e0d35ceab9951ebeda"
"5",2018-02-26,"I1800224","Beoordelen inkoopfactuur",2018-04-12 08:49:03,"abdc6e9dade886e0d35ceab9951ebeda"
"6",2018-02-26,"I1800224","Beoordelen inkoopfactuur",2018-04-16 14:24:40,"3f309e071cff9027995b0b80691d6369"
"7",2018-02-26,"I1800224","Accorderen inkoopfactuur",2018-04-16 14:24:46,"3f309e071cff9027995b0b80691d6369"
"8",2018-04-01,"I1800311","Inkoopfactuur <= 5.000",2018-04-09 08:09:07,"abdc6e9dade886e0d35ceab9951ebeda"
"9",2018-04-01,"I1800311","Beoordelen inkoopfactuur",2018-04-09 14:55:04,"3f309e071cff9027995b0b80691d6369"
"10",2018-04-01,"I1800311","Accorderen inkoopfactuur",2018-04-09 14:55:22,"3f309e071cff9027995b0b80691d6369"
"11",2018-03-16,"I1800263","Inkoopfactuur <= 5.000",2018-03-20 08:46:24,"abdc6e9dade886e0d35ceab9951ebeda"
"12",2018-03-16,"I1800263","Beoordelen inkoopfactuur",2018-03-20 08:53:13,"abdc6e9dade886e0d35ceab9951ebeda"
"13",2018-03-16,"I1800263","Accorderen inkoopfactuur",2018-03-20 11:16:54,"524fdb068748af57469e4dc7edf8e89d"
"14",2018-04-03,"I1800354","Beoordelen inkoopfactuur",2018-04-17 09:38:40,"524fdb068748af57469e4dc7edf8e89d"
"15",2018-04-03,"I1800354","Accorderen inkoopfactuur",2018-04-17 09:38:45,"524fdb068748af57469e4dc7edf8e89d"
"16",2018-03-03,"I1800249","Inkoopfactuur <= 5.000",2018-03-15 10:52:47,"abdc6e9dade886e0d35ceab9951ebeda"
"17",2018-03-03,"I1800249","Beoordelen inkoopfactuur",2018-03-20 11:17:57,"524fdb068748af57469e4dc7edf8e89d"
"18",2018-03-03,"I1800249","Accorderen inkoopfactuur",2018-03-20 11:18:02,"524fdb068748af57469e4dc7edf8e89d"
"19",2018-04-03,"I1800354","Inkoopfactuur <= 5.000",2018-04-12 15:02:18,"abdc6e9dade886e0d35ceab9951ebeda"
"20",2018-03-07,"I1800232","Inkoopfactuur <= 5.000",2018-03-08 10:11:08,"abdc6e9dade886e0d35ceab9951ebeda"
"21",2018-03-07,"I1800232","Beoordelen inkoopfactuur",2018-03-08 10:54:37,"ce89fe3400440ded691ebea966fbf59a"
"22",2018-03-07,"I1800232","Accorderen inkoopfactuur",2018-03-08 11:12:22,"3f309e071cff9027995b0b80691d6369"
"23",2018-04-04,"I1800322","Inkoopfactuur <= 5.000",2018-04-09 08:23:48,"abdc6e9dade886e0d35ceab9951ebeda"
"24",2018-04-04,"I1800322","Beoordelen inkoopfactuur",2018-04-09 09:39:41,"ce89fe3400440ded691ebea966fbf59a"
"25",2018-04-04,"I1800322","Accorderen inkoopfactuur",2018-04-09 14:50:20,"3f309e071cff9027995b0b80691d6369"
"26",2018-03-15,"I1800253","Inkoopfactuur <= 5.000",2018-03-20 08:07:48,"abdc6e9dade886e0d35ceab9951ebeda"
"27",2018-03-15,"I1800254","Inkoopfactuur <= 5.000",2018-03-20 08:10:00,"abdc6e9dade886e0d35ceab9951ebeda"
"28",2018-03-15,"I1800253","Beoordelen inkoopfactuur",2018-03-20 13:05:37,"ce89fe3400440ded691ebea966fbf59a"
"29",2018-03-15,"I1800254","Beoordelen inkoopfactuur",2018-03-20 13:05:46,"ce89fe3400440ded691ebea966fbf59a"
"30",2018-03-15,"I1800253","Accorderen inkoopfactuur",2018-03-22 06:39:04,"3f309e071cff9027995b0b80691d6369"
"31",2018-03-15,"I1800254","Accorderen inkoopfactuur",2018-03-22 06:39:15,"3f309e071cff9027995b0b80691d6369"
"32",2018-03-01,"I1800273","Inkoopfactuur <= 5.000",2018-03-20 10:01:14,"abdc6e9dade886e0d35ceab9951ebeda"
"33",2018-03-01,"I1800273","Beoordelen inkoopfactuur",2018-03-20 20:50:40,"2bdc2f5d286fc7d297896e561064a593"
